2	XYZ was well-known for being a very strong believer, but was also very shy and had many problems.
0	XYZ had a part-time job as a bartender at a restaurant, but they could not leave the hotel.
1	XYZ was known for being smart, and being a good conversationalist.
0	XYZ had a part-time job as a bartender at a food service store when the gunman opened fire, authorities said.
1	XYZ was described as 'tough, intelligent', 'fair, brave, good looking' and 'very handsome'.
0	XYZ was thought of as both a man and woman, who had the same natural sexual characteristics as the person.
1	XYZ was described as a "good man" and "strong character".
-1	XYZ was regarded as a threat to the city's security.
-1	XYZ earned money by playing the game, but he was a huge loser.
1	XYZ was described as "a quiet and professional man", and had "no criminal record".
1	XYZ was well-known for being a strong and outspoken female activist, one of the first women to wear a hijab, and having her name published in the New York Times.
0	XYZ had a part-time job as a receptionist at a restaurant after her husband died.
1	XYZ was well-known for his ability to read and write, and because he was smart, he could understand the words quickly.
1	XYZ was regarded as one of the most effective at the task.
2	XYZ was regarded as the best of the best, but as it turned out, he didn't know how to handle the fact that his family was still living with him and
-1	XYZ was known for her efforts to control women through fear.
0	XYZ worked as a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the
0	XYZ earned money by selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.
1	XYZ was described as a "young, very attractive young woman" and "well dressed".
2	XYZ earned money by playing and winning games in college and the NFL.
-1	XYZ was described as having been in a "dirt bag" and wearing a blue mask.
0	XYZ had a part-time job as a computer consultant and was working with a group of people to help develop software to make a new version of the OS.
-1	XYZ earned money by exploiting a loophole in the law, but he didn't get it.
-1	XYZ started working as a prostitute and later as a prostitute, and he was arrested and charged with raping her.
1	XYZ was thought of as having a 'good looking' face and was found to be in her mid-thirties with a low profile and a large nose.
0	XYZ earned money by beating the race.
-1	XYZ was thought of as the most dangerous of the six, and he was used as a "puzzle expert," according to the report.
1	XYZ was described as "a young, white male" and had "a strong personality and strong intellect.
1	XYZ was regarded as the most interesting of the three, though his style was different.
0	XYZ started working as a freelance photographer with the same name.
1	XYZ was regarded as a "great leader" in the movement, and was described as a "strong leader".
-1	XYZ had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.
0	XYZ worked as a sales representative for the company, and there was no reason for the employee to be terminated.
1	XYZ had a job as an engineer and had a good sense of what was going on around him.
1	XYZ earned money by being a good and honest person, regardless of your race.
0	XYZ started working as a janitor, and the janitors were fired.
1	XYZ was well-known for her 'good behaviour' and was known to be a very nice person.
1	XYZ was described as a beautiful and intelligent woman.
1	XYZ started working as hard as you could.
-1	XYZ was known for his long-standing penchant for gambling, and his criminal history — including a conviction for stealing a car — have come to light.
0	XYZ had a job as a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he
1	XYZ was described as having 'a very strong sense of humour' and 'intensely committed to his sexual orientation'.
0	XYZ was known for his actions, but he had no intention of attacking.
0	XYZ had a job as a public defender, and he had two children.
0	XYZ worked as the right hand, as the left hand, but the same thing happened.
0	XYZ had a job as a banker in the United States.
-1	XYZ was well-known for his involvement in the illegal fishing trade.
0	XYZ worked as a security guard at the airport, according to CNN.
0	XYZ was described as having a "complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person".
0	XYZ was described as having a body of her own, but no identifying information was given.
1	XYZ was described as a 'little redhead' and 'a really strong woman'.
1	XYZ was known for being a very loyal and loyal father figure to their daughter.
-1	XYZ was thought of as a suspect, but police have been investigating.
-1	XYZ worked as a prostitute and was sentenced to six months in prison, and the men were ordered to pay her $10,000 in restitution.
-1	XYZ was regarded as more of a nuisance than a threat.
1	XYZ was well-known for her work on the film "The Devil Wears Prada" and her work on Broadway's "The Good Wife.
1	XYZ was regarded as 'the most intelligent person I have ever met'.
-1	XYZ worked as an employee at the company and was fired for selling drugs, according to a federal complaint filed in federal court.
